device: cpu | num_envs: 8
C:\Users\Nemanja\AppData\Local\Programs\Python\Python313\Lib\site-packages\pygame\pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.13.14)
Hello from the pygame community. https://www.pygame.org/contribute.html
C:\Users\Nemanja\AppData\Local\Programs\Python\Python313\Lib\site-packages\pygame\pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.13.14)
Hello from the pygame community. https://www.pygame.org/contribute.html
C:\Users\Nemanja\AppData\Local\Programs\Python\Python313\Lib\site-packages\pygame\pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.13.14)
Hello from the pygame community. https://www.pygame.org/contribute.html
C:\Users\Nemanja\AppData\Local\Programs\Python\Python313\Lib\site-packages\pygame\pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.13.14)
Hello from the pygame community. https://www.pygame.org/contribute.html
C:\Users\Nemanja\AppData\Local\Programs\Python\Python313\Lib\site-packages\pygame\pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.13.14)
Hello from the pygame community. https://www.pygame.org/contribute.html
C:\Users\Nemanja\AppData\Local\Programs\Python\Python313\Lib\site-packages\pygame\pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.13.14)
Hello from the pygame community. https://www.pygame.org/contribute.html
C:\Users\Nemanja\AppData\Local\Programs\Python\Python313\Lib\site-packages\pygame\pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
C:\Users\Nemanja\AppData\Local\Programs\Python\Python313\Lib\site-packages\pygame\pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.13.14)
Hello from the pygame community. https://www.pygame.org/contribute.html
pygame 2.6.1 (SDL 2.28.4, Python 3.13.14)
Hello from the pygame community. https://www.pygame.org/contribute.html
upd    1 | step     2048 |    81 sps | ret     3.00 | succ 0.15 | mean_lvl 21.8 | max_lvl 24 | cur 1/9 pb 0.0 | focus (268,56) f=0.86 | kl +0.0000 | ent 3.611
upd    2 | step     4096 |    80 sps | ret     2.60 | succ 0.13 | mean_lvl 21.9 | max_lvl 24 | cur 1/9 pb 0.0 | focus (268,56) f=0.8 | kl +0.0002 | ent 3.609
upd    3 | step     6144 |    81 sps | ret     2.60 | succ 0.13 | mean_lvl 21.8 | max_lvl 24 | cur 1/9 pb 0.0 | focus (268,56) f=0.86 | kl +0.0011 | ent 3.606
upd    4 | step     8192 |    81 sps | ret     3.60 | succ 0.18 | mean_lvl 21.9 | max_lvl 24 | cur 1/9 pb 0.0 | focus (268,56) f=0.81 | kl +0.0004 | ent 3.599
upd    5 | step    10240 |    82 sps | ret     4.40 | succ 0.22 | mean_lvl 22.1 | max_lvl 24 | cur 1/9 pb 0.0 | focus (268,56) f=0.67 | kl +0.0015 | ent 3.586
upd    6 | step    12288 |    82 sps | ret     5.20 | succ 0.26 | mean_lvl 22.1 | max_lvl 24 | cur 1/9 pb 0.0 | focus (268,56) f=0.83 | kl +0.0015 | ent 3.560
upd    7 | step    14336 |    82 sps | ret     4.40 | succ 0.22 | mean_lvl 22.0 | max_lvl 24 | cur 1/9 pb 0.0 | focus (268,56) f=0.73 | kl +0.0030 | ent 3.518
upd    8 | step    16384 |    83 sps | ret     6.80 | succ 0.34 | mean_lvl 22.2 | max_lvl 24 | cur 1/9 pb 0.0 | focus (268,56) f=0.58 | kl +0.0016 | ent 3.452
upd    9 | step    18432 |    83 sps | ret     9.40 | succ 0.47 | mean_lvl 22.6 | max_lvl 24 | cur 1/9 pb 0.0 | focus (268,56) f=0.6 | kl +0.0022 | ent 3.352
upd   10 | step    20480 |    83 sps | ret    10.80 | succ 0.54 | mean_lvl 22.6 | max_lvl 24 | cur 1/9 pb 0.0 | focus (268,56) f=0.61 | kl +0.0038 | ent 3.229
upd   11 | step    22528 |    82 sps | ret    11.00 | succ 0.55 | mean_lvl 22.8 | max_lvl 24 | cur 1/9 pb 0.0 | focus (268,56) f=0.22 | kl +0.0062 | ent 3.075
upd   12 | step    24576 |    82 sps | ret    13.40 | succ 0.67 | mean_lvl 23.1 | max_lvl 24 | cur 1/9 pb 0.0 | focus (268,56) f=0.4 | kl +0.0031 | ent 2.919
upd   13 | step    26624 |    82 sps | ret    14.80 | succ 0.74 | mean_lvl 23.3 | max_lvl 24 | cur 1/9 pb 0.0 | focus (268,56) f=0.22 | kl +0.0072 | ent 2.701
upd   14 | step    28672 |    82 sps | ret    15.40 | succ 0.77 | mean_lvl 23.3 | max_lvl 24 | cur 1/9 pb 0.0 | focus (268,56) f=0.24 | kl +0.0039 | ent 2.507
upd   15 | step    30720 |    82 sps | ret    13.20 | succ 0.66 | mean_lvl 23.1 | max_lvl 24 | cur 2/9 pb 0.0 | focus (248,56) f=0.9 | kl +0.0042 | ent 2.279
upd   16 | step    32768 |    82 sps | ret     7.00 | succ 0.35 | mean_lvl 22.6 | max_lvl 24 | cur 3/9 pb 0.0 | focus (372,120) f=1.0 | kl +0.0021 | ent 2.191
upd   17 | step    34816 |    81 sps | ret     5.20 | succ 0.26 | mean_lvl 22.4 | max_lvl 24 | cur 3/9 pb 0.0 | focus (372,120) f=1.0 | kl +0.0114 | ent 2.393
upd   18 | step    36864 |    81 sps | ret     5.00 | succ 0.25 | mean_lvl 22.4 | max_lvl 24 | cur 3/9 pb 0.0 | focus (372,120) f=1.0 | kl +0.0044 | ent 2.550
upd   19 | step    38912 |    81 sps | ret     6.00 | succ 0.30 | mean_lvl 22.4 | max_lvl 24 | cur 3/9 pb 0.0 | focus (372,120) f=0.99 | kl +0.0053 | ent 2.539
upd   20 | step    40960 |    81 sps | ret     5.20 | succ 0.26 | mean_lvl 22.4 | max_lvl 24 | cur 3/9 pb 0.0 | focus (372,120) f=1.0 | kl +0.0047 | ent 2.539
